Código,Descrição,Cadastro,Pis Compra,Cofins Compra,Pis Venda,Cofins Venda,Carga Trib Nacional,Carga Trib Estadual,ICMS: Tributação,ICMS: Al. ICMS Int,ICMS: Cálculo ICMS,ICMS: Descreição Cálculo ICMS,ICMS: Pauta Fiscal,CSOSN: Origem Merc,CSOSN: Trib/Isento,CSOSN: Subst. Trib,CST ICMS Não Trib/Isento: Pessoa Física,CST ICMS Não Trib/Isento: Pessoa Jurídica,IPI: CST IPI Entr,IPI: CST IPI Saída,IPI: Tipo Item,IPI: Gên. Item,IPI: Combustível,IPI: Código ANP,IPI: Cód. WFiscal,IPI: Clas. IPI(NCM),IPI: Cód. Selo,IPI: Classe Enq,IPI: Cód. Reduz,PIS/COFINS: CST PIS Entr,PIS/COFINS: CST PIS Saída,PIS/COFINS: CST Cofins Entr,PIS/COFINS: CST Cofins Saída
000034,APONTADOR C/ DEPOSITO PLASTICO CIS 362,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,000004051,82141000,,,,99,99,99,99
000035,APONTADOR C/ DEPOSITO PLASTICO CIS 363,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,000003946,82141000,,,,99,99,99,99
000036,APONTADOR C/ DEPOSITO PLASTICO FABER CASTEL,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,000003230,82141000,,,,99,99,99,99
000037,APONTADOR C/ DEPOSITO PLASTICO LEO E LEO,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,000003694,82141000,,,,99,99,99,99
000038,ENVELOPE KRAFT 110X170 MM FORONI,22/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000002598,48171000,,,,99,99,99,99
000039,CADERNO COST. 1/4 C/P C. DURA 96 FLS FORONI,22/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000004605,48202000,,,,99,99,99,99
000040,GRAMPEADOR ALICATE P/ 25 FLS ADECK,22/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,84,,,000002606,84729040,,,,99,99,99,99
000041,APONTADOR S/ DEPOSITO PLASTICO CIS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,,82141000,,,,99,99,99,99
000042,APONTADOR S/ DEPOSITO PLASTICO CIS 638,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,,82141000,,,,99,99,99,99
000043,MASSA DE MODELAR 180G  12 CORES MAGIX,22/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","6,92 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,34,,,000005067,34070010,,,,99,99,99,99
000044,APONTADOR S/ DEPOSITO PLASTICO FABER CASTELL,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,000004893,82141000,,,,99,99,99,99
000045,APONTADOR S/ DEPOSITO PLASTICO LEO E LEO,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,000003693,82141000,,,,99,99,99,99
000046,APONTADOR S/ DEPOSITO METALICO LEO E LEO,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,000004343,82141000,,,,99,99,99,99
000047,AQUARELA PASTILHA ESTOJO C/12 CORES FABER CASTEL,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,32,,,000004808,32131000,,,,,99,,99
000048,PAPEL DE SEDA CORES RST,22/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,63 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000005020,48025499,,,,99,99,99,99
000049,"BALAO N° 6,5 CORES C/50 UNID. ART LATEX",10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,95,,,,95030099,,,,,99,,99
000050,APONTADOR DE METAL CIS,23/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,,82141000,,,,99,99,99,99
000051,ETIQUETA ADESIVA FACIS,23/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000003807,48219000,,,,99,99,99,99
000052,BALAO No 8 CORES C/50 UNID. ART LATEX,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,95,,,000003258,95030099,,,,,99,,99
000053,BALAO No 9 CORES C/50 UNID. ART LATEX,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,95,,,000005650,95030099,,,,,99,,99
000054,PASTA PP 20MM CORES PLASCONY,24/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,42,,,000002620,42021210,,,,99,99,99,99
000055,AUTO ADESIVO PLAST YES,24/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000002629,39191090,,,,99,99,99,99
000056,BARBANTE 4/8 ALGODAO ROLO C/150 MTS JAF,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,52,,,000005121,52029900,,,,,99,,99
000057,BARBANTE 4/8 ALGODAO ROLO C/188 MTS JAF,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,52,,,000005123,52029900,,,,,99,,99
000058,BARBANTE 4/8 ALGODAO ROLO C/375 MTS. JAF,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,52,,,000003266,52029900,,,,,99,,99
000059,BARBANTE 4/8 ALGODAO ROLO C/80 MTS JAF,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,55,,,000003906,52029900,,,,,99,,99
000060,BASTAO COLA QUENTE FINO C/1 KG RENDICOLA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,35,,,000004140,35061090,,,,,99,,99
000061,BASTAO COLA QUENTE FINO RENDICOLA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,35,,,,35069120,,,,,99,,99
000062,BASTAO COLA QUENTE GROSSO C/1 KG RENDICOLA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,35,,,000004174,35061090,,,,,99,,99
000063,BASTAO COLA QUENTE GROSSO RENDICOLA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,35,,,,35069120,,,,,99,,99
000064,BATERIA ALCALINA 9V ELGIN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,11 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,85,,,000003549,85061031,,,,,99,,99
000065,BETUME LIQUIDO C/500 ML ACRILEX,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","31,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,27,,,,27149000,,,,,99,,99
000066,ENVELOPE KRAFT 270X470 MM CELUCAT,24/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000004765,48171000,,,,99,99,99,99
000067,BLOCO CARNE INSS GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000068,CARTOLINA COLORIDA MILPEL,24/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000005407,48025899,,,,99,99,99,99
000069,FITA ADESIVA DUREX 12MMX30M CORES FIT PEL,24/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,11 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,39,,,000003409,39191010,,,,99,99,99,99
000070,PRATO DESCARTAVEL COPOPLAST,24/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","6,92 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,39,,,000005217,39241000,,,,99,99,99,99
000071,BLOCO COPIA CHEQUE GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000072,ESTILETE LAMINA ESTREITA BRW,24/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","14,91 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,82,,,000003571,82119390,,,,99,99,99,99
000073,LAPIS PRETO REDONDO N°2 LABRA,28/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,96,,,000002687,96091000,,,,99,99,99,99
000074,BOBINA PLASTICA P/ ENCAPAR TRANSP. PLAVIPEL,28/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,45 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,39,,,000002833,39241000,,,,99,99,99,99
000075,BLOCO ENTRADA DE CAIXA GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000076,"ETIQUETA ADDESIVA BRANCA 32,83 X 104,5 MM",27/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000002631,48219000,,,,99,99,99,99
000077,CABO USB COMTAC,28/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,85,,,000002633,85444200,,,,99,99,99,99
000078,PASTA DE TUBOS ACP,29/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,42,,,000002983,42021210,,,,99,99,99,99
000079,ETIQUETA ADESIVA 35X74 C/ 24 POLIFIX,04/04/2017,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,,48219000,,,,99,99,99,99
000080,ENVELOPE BRANCO 229X324 MM CELUCAT,29/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,49,,,000003156,49111090,,,,99,99,99,99
000081,MARCADOR DE PAGINA,29/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000003951,48201000,,,,99,99,99,99
000082,BLOCO VALE S/ CANHOTO GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000083,BLOCO RECIBO COMUM C/ CANHOTO GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,000005265,48201000,,,,,99,,99
000084,BLOCO RECIBO COMUM S/ CANHOTO GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000085,BLOCO VALE C/ CANHOTO GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000086,ENVELOPE BRANCO 320X420 MM FORONI,29/11/2016,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000003129,48171000,,,,99,99,99,99
000087,LIVRO COD DEFESA CONSUMIDOR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,49,,,,49019100,,,,99,99,99,99
000088,BATERIA LR44,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,85,,,000005192,85061010,,,,99,99,99,99
000089,BLOCO SEGURO DESEMPREGO GRAFIMAR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000091,CANETA NANKIN,09/12/2016,"0,00 %","0,00 %","0,00 %","0,00 %","17,07 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,96,,,000002674,96082000,,,,99,99,99,99
000092,"ETIQUETA ADESIVA A4 66,7 X 25,4 C/ 25 FLS POLIFIX",13/12/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000003287,48219000,,,,99,99,99,99
000093,BOBINA FAX 216 X 30 MTS PRIMUS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,63 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,000005220,48119090,,,,,99,,99
000094,BOBINA CUPOM F. 57 MM 30 MTS TERMICA PRIMUS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,63 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,000002594,48119010,,,,,99,,99
000095,ALFINETE P/ MAPA C/100 UN YARA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,73,,,,73194000,,,,99,99,99,99
000096,BOBINA CUPOM F. 57 MM 80 MTS TERMICA PRIMUS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,63 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,000004732,48119010,,,,,99,,99
000097,FITA FIXA FORTE 3M,20/12/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,39,,,000004437,35061090,,,,99,99,99,99
000098,FITA P IMPRES EPSON ERC 03 CLASSIC PRINT,20/12/2016,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,96,,,000002711,96121090,,,,99,99,99,99
